step,metric,prior,mean,std,n_seeds,rank
10000,phi_fdrr,Canny,16.361331142453512,20.974166123996472,3,3
10000,phi_fdrr,LoG,4.942054222516874,3.6477644370712996,3,2
10000,phi_fdrr,SLoG,1.7084787120852878,0.11552459747295017,3,1
10000,geo_kid,Canny,44.956930278520986,35.29392890453975,3,3
10000,geo_kid,LoG,17.684079851195694,7.42579137153703,3,2
10000,geo_kid,SLoG,0.9281947384354526,0.3318885394015363,3,1
10000,swd,Canny,0.11529519077804355,0.006858072035135267,3,3
10000,swd,LoG,0.11299546973572837,0.010645013391344134,3,2
10000,swd,SLoG,0.1079006443421046,0.007299142778120177,3,1
10000,structtex,Canny,37.28970589895093,9.004959308012328,3,3
10000,structtex,LoG,13.479143710154615,4.59963914806202,3,2
10000,structtex,SLoG,1.909213726980739,0.32062014786299753,3,1
10000,spectrum,Canny,1.468030347165774,0.5973391454650193,3,3
10000,spectrum,LoG,1.0826224052547746,0.34787736058995455,3,2
10000,spectrum,SLoG,0.44731933903163834,0.24007162722701908,3,1
10000,energy,Canny,2.797069432707231,1.3481450073160777,3,1
10000,energy,LoG,2.84813690848565,0.9390562614379108,3,2
10000,energy,SLoG,2.9768284410815014,0.2548858818338422,3,3
10500,phi_fdrr,Canny,18.592687288637368,23.781623738544926,3,3
10500,phi_fdrr,LoG,3.9049740339625907,2.851859405452321,3,2
10500,phi_fdrr,SLoG,1.4604835931408482,0.4525260032642477,3,1
10500,geo_kid,Canny,44.52914282919546,34.392287347827214,3,3
10500,geo_kid,LoG,18.84739144323709,9.43710809501676,3,2
10500,geo_kid,SLoG,0.8528188008663435,0.4232887860104933,3,1
10500,swd,Canny,0.13287724554538727,0.00843334883010632,3,3
10500,swd,LoG,0.1155518177482817,0.007024564957230335,3,1
10500,swd,SLoG,0.12208272930648593,0.0032405824544275478,3,2
10500,structtex,Canny,52.334535063903616,12.40541396062156,3,3
10500,structtex,LoG,14.296006725423162,7.528348149613811,3,2
10500,structtex,SLoG,1.8144409922381268,0.44046548614996894,3,1
10500,spectrum,Canny,1.3014499260868218,0.28643871643213986,3,3
10500,spectrum,LoG,0.7695837132675099,0.1082130742172854,3,2
10500,spectrum,SLoG,0.306916166808306,0.11404451595968307,3,1
10500,energy,Canny,2.411894527953652,0.7931725925988139,3,3
10500,energy,LoG,2.0356780344937313,0.545968964704019,3,1
10500,energy,SLoG,2.044209273260032,0.7533537032470949,3,2
11000,phi_fdrr,Canny,16.41942730374138,20.790937611240082,3,3
11000,phi_fdrr,LoG,5.356252524232889,4.600381707437904,3,2
11000,phi_fdrr,SLoG,1.4815701626390396,0.4032338619784394,3,1
11000,geo_kid,Canny,44.99268351343874,32.5888355265573,3,3
11000,geo_kid,LoG,18.203481538058625,11.045291839075349,3,2
11000,geo_kid,SLoG,0.873894093405053,0.592428903026642,3,1
11000,swd,Canny,0.12975323034657374,0.009496426305311891,3,3
11000,swd,LoG,0.11965523660182953,0.011420926278562091,3,2
11000,swd,SLoG,0.11345412499374813,0.007954653787138227,3,1
