prior,seed,step,phi_fdrr,geo_kid,swd,structtex,spectrum,energy
Canny,35,10000,3.8635170968862056,20.021053175642827,0.1157742515206337,27.543888862466453,0.8746517452276223,2.0925271992584125
Canny,35,10500,4.240669242053984,19.904722688665284,0.12921380996704102,38.11212217001524,0.9711563367384323,2.2007085315543917
Canny,35,11000,3.872947347134171,21.89478562937426,0.12584683547417322,33.38832270671879,0.8101805062863524,1.8105565855120067
Canny,35,11500,4.350646942864743,28.690237349820457,0.1222504327694575,27.543362862135304,0.6871709916422949,2.0902783188759777
Canny,35,12000,3.583650419609316,22.286550450694513,0.11872980991999309,30.792624418200994,0.6762635744645603,1.8029847166564201
Canny,35,12500,3.6941239807757484,20.862971433469745,0.15028216938177744,24.812187788760557,0.7485208699967553,1.9353868998940214
Canny,35,13000,2.6424106103560185,17.14375207931884,0.11351712048053741,25.974449720035032,0.5862274475425766,1.1656508641740606
Canny,35,13500,2.696834067953828,15.816059863406116,0.11770981053511302,19.177667525472806,0.7224823376763874,1.4506923683569177
Canny,35,14000,2.5907268029277795,13.986073015728774,0.12776117523511252,23.389140350650898,0.7446860882628009,1.3267625282301214
Canny,35,14500,1.8985027824949052,13.344728861881837,0.11122594277064006,15.410601603261915,0.5579410281319278,1.1316870228746252
Canny,35,15000,2.0976599890194203,19.6219001406674,0.11901758859554927,19.932380779747998,0.533487345181954,1.207394867919895
Canny,35,15500,2.2635477011347063,20.49095552180424,0.11858132978280385,20.054092157439875,0.5184971806949248,1.256166121380013
Canny,35,16000,2.3622322686941697,15.161169069949505,0.11399606863657634,15.821197873010604,0.6158772023325068,1.2913306902836723
Canny,35,16500,2.4953207985166888,19.38847478888781,0.11420081555843353,22.197077488186256,0.7012761742648457,1.2741507946656752
Canny,35,17000,2.1873882243484633,15.387696162756296,0.11807843049367268,19.117441284794324,0.5764789692090948,1.1060955569895967
Canny,35,17500,2.113353814003503,15.547214695449167,0.1290671875079473,12.204607586617781,0.584795236641175,1.038860123765535
Canny,35,18000,1.840550649710369,11.011729125554002,0.12986179937918982,12.330647164990065,0.5038865058491587,0.9769292152043177
Canny,35,18500,1.967978745562587,9.712463284936776,0.11333753913640976,13.568189792791351,0.5564032976845187,1.152359051173449
Canny,35,19000,1.721547367412799,8.905948376847538,0.1354979102810224,12.09902083360257,0.612661923046626,0.8399670787197312
Canny,35,19500,1.998008692177388,7.932732669916907,0.11728987097740173,14.997290729509695,0.6001009213256041,1.3861656220446301
Canny,35,20000,1.7569169152497326,7.477756920415645,0.10848301152388255,12.757233982815867,0.6113219742624882,1.11752124996009
Canny,35,20500,1.9327552276181428,5.789099295628039,0.1044625813762347,16.149329003195795,0.4993992836253777,1.1138269674050505
Canny,35,21000,1.6337907726273615,4.796629230374034,0.12265212088823318,9.699054424482323,0.6004228066457978,1.1394143856364152
Canny,35,21500,1.613594298750716,3.9963747913089342,0.11121014505624771,7.424769869048109,0.6153451995752329,1.1254217040647307
Canny,35,22000,1.4518935322385729,5.655413401584989,0.12766471256812414,7.009862947190891,0.663432892811651,0.7739024166400051
Canny,35,22500,1.7490971835093927,5.750807199987222,0.11887023597955704,10.7725156849192,0.6918479321734164,1.3619829513476913
Canny,35,23000,1.7959753909868152,5.385959073594039,0.10675411423047383,14.07971558173696,0.8594495282606438,1.3405539844621939
Canny,35,23500,1.8549856211351226,4.314911423229821,0.11182006448507309,9.188717546938474,0.915101855004838,1.4010383469726795
Canny,35,24000,1.8501585345761555,4.478963334290531,0.10644137114286423,10.660046339828357,0.8859292252990077,1.3423971699470791
Canny,35,24500,1.725481393567026,3.8836520659841596,0.11278711756070454,11.067719085037435,1.3390984717227339,1.0376761921444992
Canny,39,10000,4.644461598141143,29.508691757314097,0.1219011719028155,39.02357318498791,1.460186512374022,1.9471716171611044
Canny,39,10500,5.4935807479025005,29.85880523300576,0.12689514209826788,60.924431519335876,1.4816548381005101,1.7456889009643266
Canny,39,11000,4.966910111240751,30.814263060602798,0.12283303091923396,67.99140045798987,1.1919640983826698,1.636131067605717
Canny,39,11500,5.4252128958219945,27.083511031935437,0.11585035920143127,38.48937826781147,1.1580713599219807,1.6401540159924295
Canny,39,12000,4.512744356575732,31.075608804225148,0.11472165336211522,43.75692283420777,1.2188355420581312,1.1490260739071447
Canny,39,12500,6.429968305504747,34.20039099048504,0.11778178811073303,74.85656888616677,1.3336469885701907,1.453489429732374
Canny,39,13000,5.704840629402958,30.026305716097248,0.10903262098630269,50.866253160986055,1.0180494138369722,1.500373372724028
Canny,39,13500,5.978776686340857,33.26078017684212,0.10905335595210393,54.29828350600897,1.1333210212711198,1.2320771183859778
Canny,39,14000,4.73339630575472,32.79242729284877,0.1276238958040873,46.5862425392396,0.8432364962607879,1.0333097515130294
Canny,39,14500,6.596514088110792,32.02666289072123,0.13146286954482397,61.603708105221045,1.0698453718992975,1.518424482748449
Canny,39,15000,7.452733978306607,37.85728721080935,0.11698791881402333,79.20825356570707,1.1446632305716093,1.4975506668782965
Canny,39,15500,5.771202763186564,31.50515834224172,0.12316060314575832,52.048578247872534,0.9768527694596137,1.7347192368239384
Canny,39,16000,5.380412066302199,26.307827978076112,0.12100554257631302,42.48162131146905,1.2409601141138695,1.600857342173797
Canny,39,16500,4.1334899707498165,23.384395676418332,0.12261274705330531,29.56193909931926,0.9287242888446224,1.772383440410483
Canny,39,17000,3.035914742264949,16.72591222362304,0.10532345871130626,26.255104820964988,0.9705468131704849,1.3322411637761808
Canny,39,17500,2.5837110276001214,14.504925641630724,0.11787253866593043,16.612995457245464,1.0716083422488911,1.319692494380598
Canny,39,18000,1.9162004999632463,11.980878522102017,0.1168861264983813,13.39791583130457,0.8205270134075938,1.0866514576525652
Canny,39,18500,2.3554436860634187,13.016023017233795,0.12682773917913437,17.131697589706896,1.04971679448706,1.498070805996801
Canny,39,19000,2.269465815044416,8.567845390747234,0.1308495377500852,14.935686987383466,1.1114801038272628,1.4530770938724615
Canny,39,19500,1.853655880839234,9.808013037723232,0.14648461093505225,14.68170493922169,0.9363538727646197,1.1090049981890469
Canny,39,20000,2.047663993102033,10.612612066599421,0.12647117425998053,14.201885827860403,1.1208178893209118,1.0825706877044652
Canny,39,20500,1.8669240728970904,9.506617991600034,0.11603439102570216,9.319298605515776,1.0213375246508023,1.047183482764374
Canny,39,21000,2.2244464721032275,12.720124862879276,0.11446517705917358,12.255859158984569,1.2728580209577418,1.1505603238317608
Canny,39,21500,1.7785346981649728,8.996608996609798,0.12088969349861145,10.763145076193048,1.054796305211323,0.9547500442008496
Canny,39,22000,1.5677186048355172,6.954096999142597,0.12185182670752208,10.627190415300847,0.9398688794273433,0.7530059181275457
Canny,39,22500,1.8544167975896277,7.193059312208609,0.11417848865191142,11.050638417951168,1.2141884007658306,0.9860490635093766
Canny,39,23000,1.594823568424121,7.321631275679894,0.10747295369704564,11.627100415440053,0.8856365771268083,0.8758772411526623
Canny,39,23500,1.5793762901430721,5.767913888895636,0.12085335950056712,8.851103289543465,0.893315429441616,0.9424200369606625
Canny,39,24000,1.7561040725242314,5.338305632882706,0.11807168771823247,8.86403670074504,1.0785275497392872,1.261689736773918
Canny,39,24500,1.691929553916753,4.339114862050378,0.14997466405232748,9.483389984804926,1.1090755534737589,1.2021821618581006
Canny,42,10000,40.57601473233319,85.34104590260603,0.10821014891068141,45.30165564939841,2.069252783895678,4.351509481702176
Canny,42,10500,46.043811875955626,83.82390056591534,0.1425227845708529,57.967051502359745,1.4515386034215227,3.2892861513422385
