image,algorithm,height,width,fault_mask_found,fault_mask_path,edge_threshold_used,edge_pixel_count,skeleton_pixel_count,component_count,connected_component_mean_length_px,connected_component_median_length_px,connected_component_p90_length_px,total_skeleton_graph_length_px,endpoint_count,break_rate_endpoint_per_px,breaks_per_100px,fragmentation_components_per_100px,local_directional_continuity,bidirectional_continuity_ratio,edge_density_full,edge_density_valid_signal,branch_point_count,crossing_structure_count,junction_count_total,local_orientation_entropy,spurious_short_edge_pixel_ratio,short_component_ratio,isolated_response_ratio,isolated_component_ratio,strict_isolated_pixel_ratio,mean_edge_response,low_coherence_threshold,edge_in_low_coherence_precision,low_coherence_edge_recall,edge_low_coherence_iou,edge_low_coherence_f1,response_low_vs_other_mean_ratio,response_vs_one_minus_coherence_corr,edge_to_low_coherence_mean_distance_px,edge_near_fault_precision,fault_coverage_recall,fault_edge_f1,edge_to_fault_mean_distance_px
1390.png,SLoG,512,512,FALSE,,0.35,112500,61046,1444,51.87679453,1.414213562,35.5119841,74910.09131,3867,0.051621883,5.162188341,1.92764416,0.990171373,0.981178128,0.429153442,0.43500044,1193,1203,2396,0.332392961,0.04855355,0.787396122,0.020656554,0.569944598,0.007731874,0.529482841,0.806205606,0.377313611,0.423070694,0.249128898,0.398884211,1.001688195,-0.003521731,4.817783872,,,,
1390.png,LoG,512,512,FALSE,,0.185547039,79229,52375,4486,14.7723444,2,11.82842712,66268.73698,8599,0.129759528,12.97595275,6.769406215,0.972926021,0.94821957,0.30223465,0.328631811,618,959,1577,0.288970202,0.228505967,0.881631743,0.094357995,0.598751672,0.019264916,0.288101107,0.806205606,0.256010198,0.216864087,0.133026885,0.23481682,0.661311144,-0.225519571,5.557851997,,,,
1390.png,Canny,512,512,FALSE,,0.9,67970,63533,1737,38.31245337,6.414213562,115.6416306,66548.73151,3154,0.047393841,4.7393841,2.610117369,0.992814779,0.986101711,0.259284973,0.260257962,237,99,336,0.336827964,0.054585806,0.574553828,0.014244566,0.328151986,0.005036753,1,0.806205606,0.371072624,0.248933712,0.175069294,0.297972715,0.956643716,-0.018146125,4.865801089,,,,
1391.png,SLoG,512,512,FALSE,,0.35,102247,55197,3133,20.96108588,2.414213562,43.37056275,65671.08207,6195,0.094333759,9.433375855,4.770745207,0.986466646,0.973839158,0.390041351,0.39273977,985,888,1873,0.414244652,0.112777868,0.724225981,0.041922568,0.487073093,0.015689258,0.523650229,0.683233309,0.378526087,0.361076739,0.226689505,0.369595573,0.986265272,-0.017541185,5.165669052,,,,
1391.png,LoG,512,512,FALSE,,0.173828274,55083,37303,5312,8.583691621,1,8.242640687,45596.56989,8743,0.19174688,19.17468797,11.64999914,0.949977219,0.906843954,0.210124969,0.228426226,435,605,1040,0.349205732,0.354502319,0.919427711,0.161568775,0.656061747,0.040130821,0.26718244,0.683233309,0.240598892,0.133486825,0.093917251,0.171708144,0.665263484,-0.244027314,6.759417134,,,,
1391.png,Canny,512,512,FALSE,,0.9,69667,61785,2325,28.86137928,5.414213562,75.73279938,67102.70683,4369,0.065109147,6.510914696,3.464837873,0.992182553,0.984850692,0.265758514,0.263959009,614,263,877,0.431423366,0.071748806,0.601290323,0.021332039,0.373333333,0.008497208,1,0.683233309,0.40056953,0.256810759,0.185516251,0.312971249,0.965333465,-0.013674725,4.858123247,,,,
1394.png,SLoG,512,512,FALSE,,0.35,104706,58637,2567,26.95451298,2,48.34213562,69192.23482,5260,0.076020091,7.602009118,3.70995388,0.98835206,0.977625049,0.399421692,0.401807083,1083,883,1966,0.340008378,0.088783533,0.73120374,0.033477156,0.503700818,0.012637072,0.527051628,0.781269789,0.374329387,0.38273334,0.233414216,0.378484718,0.989984403,-0.008348373,4.699120752,,,,
1394.png,LoG,512,512,FALSE,,0.177734539,64343,43747,4891,10.77262361,1,9.242640687,52688.90207,8461,0.160584102,16.05841015,9.282789749,0.962523162,0.929572314,0.245449066,0.265875564,482,759,1241,0.287231773,0.28607676,0.906563075,0.126065787,0.638928644,0.029579171,0.273071378,0.781269789,0.234717561,0.158799376,0.104627753,0.189435314,0.653306186,-0.232775742,5.815210627,,,,
1394.png,Canny,512,512,FALSE,,0.9,67294,62259,1923,34.09466269,6.414213562,97.03330445,65564.03634,3447,0.052574554,5.257455447,2.933010393,0.992892623,0.986347355,0.256706238,0.255435009,286,120,406,0.348492265,0.059654026,0.579303172,0.016126183,0.345293812,0.006344464,1,0.781269789,0.380725409,0.24746687,0.176444333,0.299962061,0.969433756,-0.013728799,4.642019323,,,,
1397.png,SLoG,512,512,FALSE,,0.35,75361,45325,2912,19.24185437,1,25.96345597,56032.27991,5886,0.105046591,10.50465912,5.197004306,0.989542186,0.979702151,0.287479401,0.412935464,966,1060,2026,0.373843282,0.131958081,0.810782967,0.057517926,0.590315934,0.021820188,0.531314731,0.676940632,0.379667399,0.38624346,0.236802696,0.382927198,0.965401949,-0.031339042,4.481712102,,,,
