algorithm,row_count,edge_threshold_used_mean,edge_threshold_used_std,edge_threshold_used_median,edge_pixel_count_mean,edge_pixel_count_std,edge_pixel_count_median,skeleton_pixel_count_mean,skeleton_pixel_count_std,skeleton_pixel_count_median,component_count_mean,component_count_std,component_count_median,connected_component_mean_length_px_mean,connected_component_mean_length_px_std,connected_component_mean_length_px_median,connected_component_median_length_px_mean,connected_component_median_length_px_std,connected_component_median_length_px_median,connected_component_p90_length_px_mean,connected_component_p90_length_px_std,connected_component_p90_length_px_median,total_skeleton_graph_length_px_mean,total_skeleton_graph_length_px_std,total_skeleton_graph_length_px_median,endpoint_count_mean,endpoint_count_std,endpoint_count_median,break_rate_endpoint_per_px_mean,break_rate_endpoint_per_px_std,break_rate_endpoint_per_px_median,breaks_per_100px_mean,breaks_per_100px_std,breaks_per_100px_median,fragmentation_components_per_100px_mean,fragmentation_components_per_100px_std,fragmentation_components_per_100px_median,local_directional_continuity_mean,local_directional_continuity_std,local_directional_continuity_median,bidirectional_continuity_ratio_mean,bidirectional_continuity_ratio_std,bidirectional_continuity_ratio_median,edge_density_full_mean,edge_density_full_std,edge_density_full_median,edge_density_valid_signal_mean,edge_density_valid_signal_std,edge_density_valid_signal_median,branch_point_count_mean,branch_point_count_std,branch_point_count_median,crossing_structure_count_mean,crossing_structure_count_std,crossing_structure_count_median,junction_count_total_mean,junction_count_total_std,junction_count_total_median,local_orientation_entropy_mean,local_orientation_entropy_std,local_orientation_entropy_median,spurious_short_edge_pixel_ratio_mean,spurious_short_edge_pixel_ratio_std,spurious_short_edge_pixel_ratio_median,short_component_ratio_mean,short_component_ratio_std,short_component_ratio_median,isolated_response_ratio_mean,isolated_response_ratio_std,isolated_response_ratio_median,isolated_component_ratio_mean,isolated_component_ratio_std,isolated_component_ratio_median,strict_isolated_pixel_ratio_mean,strict_isolated_pixel_ratio_std,strict_isolated_pixel_ratio_median,mean_edge_response_mean,mean_edge_response_std,mean_edge_response_median,low_coherence_threshold_mean,low_coherence_threshold_std,low_coherence_threshold_median,edge_in_low_coherence_precision_mean,edge_in_low_coherence_precision_std,edge_in_low_coherence_precision_median,low_coherence_edge_recall_mean,low_coherence_edge_recall_std,low_coherence_edge_recall_median,edge_low_coherence_iou_mean,edge_low_coherence_iou_std,edge_low_coherence_iou_median,edge_low_coherence_f1_mean,edge_low_coherence_f1_std,edge_low_coherence_f1_median,response_low_vs_other_mean_ratio_mean,response_low_vs_other_mean_ratio_std,response_low_vs_other_mean_ratio_median,response_vs_one_minus_coherence_corr_mean,response_vs_one_minus_coherence_corr_std,response_vs_one_minus_coherence_corr_median,edge_to_low_coherence_mean_distance_px_mean,edge_to_low_coherence_mean_distance_px_std,edge_to_low_coherence_mean_distance_px_median,edge_near_fault_precision_mean,edge_near_fault_precision_std,edge_near_fault_precision_median,fault_coverage_recall_mean,fault_coverage_recall_std,fault_coverage_recall_median,fault_edge_f1_mean,fault_edge_f1_std,fault_edge_f1_median,edge_to_fault_mean_distance_px_mean,edge_to_fault_mean_distance_px_std,edge_to_fault_mean_distance_px_median
SLoG,500,0.35,0.0,0.35,113643.264,28739.390141157768,116915.0,58458.61,9684.553820145284,60522.0,2453.634,2474.1640988463237,1141.0,126.02759346414356,148.52547579637255,60.294190424598966,1.3592447327281723,0.4926496380494732,1.0,18.049276341023262,12.614663324656233,13.0,75546.66317060763,18277.312122169224,76162.57557256811,5003.612,3621.49696313057,3612.0,0.08020332405686997,0.07101323694553834,0.04849250993718291,8.020332405686998,7.101323694553834,4.849250993718291,4.149265948263866,4.737801297533553,1.6456673054962685,0.9861101278800047,0.008756928213979576,0.9885770082473755,0.9733995186168832,0.016198885853024095,0.9781546811397558,0.4335146484375,0.10963207298720462,0.4459953308105469,0.4409691006761778,0.0885905835986193,0.4526115527513243,1133.326,303.1377520491877,1246.0,1417.876,595.9748860090559,1439.0,2551.202,864.9502361512112,2730.0,0.3851996903010982,0.03164552021203908,0.3827628493309021,0.10845258923263214,0.12298490281693183,0.04478540327596931,0.8578451937301257,0.06453689664982068,0.8719520146042509,0.04386401011459177,0.04881800262735254,0.01990344850312227,0.6326247804548198,0.08661249806510075,0.6285228377065112,0.014115894454437894,0.014456495490714242,0.007334923383539713,0.5219684774149396,0.03509947133019364,0.5196455121040344,0.7055430983304978,0.11484422656747928,0.7476414978504181,0.37898145634799896,0.041097321391938835,0.38975644930421777,0.418547485963026,0.11561977464942787,0.4399444281711563,0.2470459841262251,0.055060751690535266,0.2573672539151698,0.39370715704177445,0.07281215271106306,0.40981277863198895,0.980513052068397,0.05452686094042342,0.9891999095278831,-0.01751752304731578,0.027884982140210898,-0.01158500513437004,4.784345682127676,1.0747611131342893,4.523378628230561,,,,,,,,,,,,
LoG,500,0.19343037198564572,0.027000344082948616,0.18945328891277313,62283.52,21879.38354227514,67357.5,40471.222,14105.309737339645,44019.5,4204.062,1152.3551983491573,4437.5,13.132175494567191,14.505655537976898,12.613576126497286,1.6025929291125633,0.46918671753389946,2.0,9.777244888619963,9.361141949966044,9.761269837220869,51444.97101518552,18607.99986635285,56184.46357403339,7698.922,2378.9130295831847,8387.0,0.15549925386791183,0.03466854368383094,0.14828593499461423,15.549925386791184,3.4668543683830935,14.828593499461423,8.80158037545402,2.7764549655933703,7.927600560295725,0.9574312703881809,0.01741552073450191,0.9626616835594177,0.9213970705933086,0.02953849936400159,0.9300182165163081,0.2375927734375,0.0834632245722776,0.25694847106933594,0.26421582300525187,0.08659820283757573,0.2869898723115293,420.764,141.3253764476009,453.5,734.864,294.6507485672868,784.0,1155.628,430.50975705300306,1245.5,0.3213547138508432,0.039575458681431475,0.3207923173904419,0.28401922414748026,0.06847233025766329,0.26893173689939354,0.9062328311202059,0.022168512385898415,0.9026265214606022,0.1268122164307976,0.04271701133172837,0.11240087552477664,0.6307226851293568,0.05725844341851822,0.6133196721311476,0.028468085528898037,0.012488847703487717,0.02286427571089326,0.3071543089672176,0.04273521679359403,0.2987768352031708,0.7055430983304978,0.11484422656747928,0.7476414978504181,0.22021279511948869,0.049700716864023047,0.2255915411231222,0.14801768321067146,0.06538240142610638,0.15140143764349118,0.09555567709459312,0.03703940654585625,0.09948858977450385,0.17268043226151522,0.062080253254810085,0.18120630960688236,0.5978513776002746,0.07670726122148495,0.6051076260528503,-0.2790438533039183,0.0527125953414367,-0.2726577096173782,6.388497386305072,1.7336080302522208,5.987876911039131,,,,,,,,,,,,
Canny,500,0.9,0.0,0.9,66702.18,9834.324532657403,69853.5,60674.782,9961.176228447344,64303.5,1989.894,549.4518517931098,1793.0,34.661534247467,10.025615852525531,37.51670622402851,6.313203461105329,1.8571788548993922,6.414213562373095,93.40478673621838,29.296573738334917,100.61883835420684,64729.7079881935,10179.33170120547,68294.15906945843,3655.536,866.6964810616055,3400.5,0.058372625835039466,0.01791318285482356,0.04986212839980293,5.8372625835039464,1.7913182854823564,4.986212839980293,3.1959379136748884,1.1529574099809279,2.657140270449752,0.9912473610742297,0.006297017374730663,0.9935933351516724,0.9831076509120051,0.011640520776712118,0.9875194771795531,0.25444862365722654,0.03751497090399705,0.26646995544433594,0.2589653827179804,0.023858251958192175,0.2670169282856629,381.372,127.85585577403732,363.0,192.298,121.53913245302871,138.0,573.67,241.3954278879582,502.5,0.4026351126735817,0.05245719117115401,0.3900800049304962,0.06676599363444877,0.026728449302369495,0.054585805801709346,0.5840383107890448,0.05260651556756599,0.5696055684454756,0.019156990862725133,0.009375646994109624,0.014578059715148374,0.34841119959068134,0.04932270510143097,0.3325401546698394,0.007369994458402546,0.004352645694501006,0.005292861500915192,1.0,0.0,1.0,0.7055430983304978,0.11484422656747928,0.7476414978504181,0.38739158539569596,0.024356299858347724,0.38761859582542696,0.2464295899447189,0.022788567096609785,0.25273403549793416,0.1768071705757685,0.014250686084893237,0.17895147560912933,0.30081584785303106,0.018119425689673518,0.3035794087573478,0.9424373758279013,0.059282138597427037,0.9391131332373591,-0.018080005954729517,0.015902514481686208,-0.019800709612810757,4.653704460275376,0.95506492934509,4.438819094436513,,,,,,,,,,,,
