prior,n_training_seeds,training_seeds,evaluation_runs_per_model,checkpoint_step,swd_total_mean,swd_total_seed_sd,geo_mmd_total_mean,geo_mmd_total_seed_sd,geo_w_total_mean,geo_w_total_seed_sd,phi_fd_total_mean,phi_fd_total_seed_sd,rr_fd_ratio_total_mean,rr_fd_ratio_total_seed_sd,rr_fd_ratio_structtex_mean,rr_fd_ratio_structtex_seed_sd,rr_fd_ratio_spectrum_mean,rr_fd_ratio_spectrum_seed_sd,rr_fd_ratio_energy_mean,rr_fd_ratio_energy_seed_sd,phi_kid_mean_mean,phi_kid_mean_seed_sd
SLoG,3,35;39;42,150,25000,0.10830105871514038,0.0005959117554788568,0.3053716496487395,0.1852009706210893,1.0653268257570063,0.43305475823139317,95.85366935562254,15.077658818138815,2.5710238555453953,0.4044776660699536,9.675439125248817,4.12690604366617,1.6941897209722994,0.2627520320977688,4.034161157519604,0.7186604195863258,1.8076873347180704,0.5453028549003376
LoG,3,35;39;42,150,25000,0.10883727102919862,0.0006108659949713719,0.7120196639730615,0.13524711762861474,1.6129594662765188,0.4855286671277025,438.4281987831371,137.33077880940272,11.756835424263345,3.682121799205588,3.410857055768794,0.7792018262308543,31.842555113823835,10.983285769172264,3.2681503789925057,0.3216887928696798,46.34346569355233,35.10120423852534
Canny,3,35;39;42,150,25000,0.11335135020591595,0.001558901346304586,0.6404906981244887,0.02319059312997092,1.9649661614347154,0.1471202083611928,607.4342358818108,111.05217744128254,16.29365905790096,2.9795585810114256,24.643433119290798,2.090093120837525,38.18499357815092,8.746893353997766,6.650883066196321,0.6978083031697577,92.04289750527009,44.72243088446289
