prior,training_seed,n_eval_runs,evaluation_pool_seed,evaluation_condition_pool_size,swd_total_mean,swd_total_eval_sd,geo_mmd_total_mean,geo_mmd_total_eval_sd,geo_w_total_mean,geo_w_total_eval_sd,phi_fd_total_mean,phi_fd_total_eval_sd,rr_fd_ratio_total_mean,rr_fd_ratio_total_eval_sd,rr_fd_ratio_structtex_mean,rr_fd_ratio_structtex_eval_sd,rr_fd_ratio_spectrum_mean,rr_fd_ratio_spectrum_eval_sd,rr_fd_ratio_energy_mean,rr_fd_ratio_energy_eval_sd,phi_kid_mean_mean,phi_kid_mean_eval_sd
SLoG,35,150,35,256,0.10794739132126173,0.00618675079212403,0.12106250202796481,0.011102204534389117,0.6447726426028162,0.033364977631860825,80.64959812820668,4.289386423220467,2.1631423800226734,0.15597467489991454,6.007339033061715,1.2995407159503418,1.7233551162646952,0.13227534484399076,3.3423366779536754,0.35511850422365626,1.2525677070662682,0.12788085724713216
SLoG,39,150,39,256,0.10898906787236531,0.006562213517716057,0.49145174233696537,0.028683076071051538,1.5098837882160965,0.08813774278800705,110.80165344586827,7.259081633554407,2.972009534356894,0.24534682034523717,14.143902726295556,3.2098413896219826,1.4180718150661318,0.12262160734023797,4.7769448699294035,0.5066729352471218,2.3426123614404544,0.3246305318854595
SLoG,42,150,42,256,0.10796671695179409,0.006408930249616034,0.30360070458128824,0.0252721186175256,1.041324046452106,0.06689481933890541,96.1097564927927,5.703295630010947,2.5779196522566177,0.19899621642338236,8.875075616389177,2.016243107737587,1.941142231586071,0.17457379316797456,3.9832019246757326,0.41107746264874095,1.8278819356474887,0.22447874792350286
LoG,35,150,35,256,0.10930837243795395,0.0064207761995717675,0.6387468648142123,0.02559233861430653,1.1267205804393727,0.034633131799990315,590.6523893940058,25.05819824445296,15.838264264824575,0.9480326140880531,4.3103522205101585,0.8781426819642132,43.98497040050011,2.9632362468209976,3.637163093152116,0.3738075906292477,86.2787409568173,9.282110671599584
LoG,39,150,39,256,0.10814707226223416,0.0063304409832242335,0.8680926806530159,0.02930591996631773,2.097774784268895,0.1317240714774653,400.79453448842,15.973104776380849,10.747854937107569,0.633366284884964,2.942756749985007,0.5681864776112865,28.942132789885246,1.9025129483139487,3.120466461394219,0.3351493813713093,32.37373446583379,3.207346363138094
LoG,42,150,42,256,0.10905636838740773,0.006595146036038036,0.6292194464519564,0.03028238752544725,1.6143830341212886,0.09600948293706935,323.83767246698545,12.183944026466976,8.68438707085789,0.5036012491297022,2.979462196811217,0.6262755594046571,22.600562151086148,1.5136856898957287,3.0468215824311824,0.3141606077579396,20.377921658005896,1.7458413899891767
Canny,35,150,35,256,0.11161161813471053,0.006154127232603755,0.6229053505708094,0.01803474630171764,1.9007540539842385,0.06258345842461695,726.5113100720358,25.21588255645494,19.48870110833594,1.1962176323548266,26.60659398751538,6.081168179603877,47.640416459538564,3.2319545435511663,5.881782315047466,0.7178957870634571,141.5729442333776,13.149178020701527
Canny,39,150,39,256,0.11382100048992369,0.00645107874697284,0.6317942246013,0.015229034970691238,1.8608666365267088,0.059399831645931926,589.1033912259969,20.411296316255154,15.801375138305156,0.9467408191786592,24.877578315358328,5.529066682120982,36.532079195281995,2.352373235029988,7.243518650061383,0.8603674821067046,79.93396664835198,7.267852136023551
Canny,42,150,42,256,0.11462143199311363,0.0070433971988981894,0.6667725192013565,0.01930460563117087,2.133277793793199,0.09489514218480216,506.6880063473996,17.002144364567314,13.590900927061783,0.8070578692303925,22.446127054998687,5.019108886926275,30.382485079632215,1.9984085599247823,6.827348233480112,0.760452726382244,54.62178163408068,4.889121092176212
